Card Name,,,Code,Quantity (FE),Quantity (U),Price (FE),Price (U)
"""A"" Cell Breeding Device",,,FOTB-EN043,1,0,,
4-Starred Ladybug of Doom,,,YSYR-EN010,1,0,,
A Hero Lives,,,LED6-EN022,1,0,,
A Legendary Ocean,,,SDRE-EN024,1,0,,
A.I. Shadow,,,IGAS-EN069,2,0,,
A.I.'s Ritual,,,IGAS-EN054,2,0,,
Abominable Chamber of the Unchained,,,CHIM-EN070,0,1,,
Achacha Archer,,,GENF-EN003,1,0,,
Achacha Chanbara,,,ABYR-EN003,0,1,,
Action Magic - Double Banking,,,CHIM-EN094,1,1,,
Advance Draw,,,DP09-EN021,1,0,,
Agave Dragon,,,MP19-EN191,1,0,,
Alexandrite Dragon,,,BP02-EN004,1,0,,
Alexandrite Dragon,,,YS12-EN001,1,0,,
Alien Skull,,,POTD-EN025,1,0,,
Altergeist Emulatelf,,,MP19-EN047,2,0,,
Amazoness Archer,,,GLD3-EN003,0,1,,
Ambulanceroid,,,POTD-EN009,0,1,,
Anarchist Monk Ranshin,,,BP02-EN092,1,0,,
Ancient Gear Knight,,,BP02-EB056,2,0,,
Ancient Gear Soldier,,,TLM-EN008,1,0,,
Ante,,,BP01-EN074,1,0,,
Armor Exe,,,DR1-EN130,0,1,,
Armoroid,,,HSRD-EN047,2,0,,
Armory Call,,,IGAS-EN077,2,0,,
"Arnis, the Empowered Warrior",,,YS14-EN013,1,0,,
Aroma Gardening,,,CHIM-EN059,1,0,,
Assault Blackwing - Sohaya the Rain Storm,,,TDIL-EN048,3,0,,
Assault Counter,,,CRMS-EN075,0,1,,
Astra Ghouls,,,CHIM-EN095,0,1,,
Asura Priest,,,BPO1-EN125,0,1,,
Aurora Paragon,,,EXVC-EN036,1,0,,
Axe of Fools,,,BPO2-EN161,1,0,,
Backfire,,,SDSB-EN038,3,0,,
Backlinker,,,SDCL-EN004,1,0,,
Backup Secretary,,,SDCL-EN010,1,0,,
Bacon Saver,,,BPO2-EN119,1,0,,
Balancer Lord,,,SDCL-EN005,1,0,,
Ballista Squad,,,CYHO-EN077,0,2,,
Ballista Squad,,,MP19-EN132,1,0,,
Batteryman C,,,CRV-EN030,0,2,,
Battle Ox,,,YSKR-EN004,1,0,,
Battle Survivor,,,IGAS-EN032,1,0,,
"Bayonater, The Baneful Barrel",,,CHIM-EN030,1,1,,
Bazoo the Soul-Eater,,,BPO2-EN012,1,0,,
Beast Magic Attack,,,CYHO-EN063,0,3,,
Beatraptor,,,RIRA-EN033,1,0,,
Beelze Frog,,,SOI-EN026,0,1,,
Bellcat Fighter,,,IGAS-EN095,1,0,,
Berserk Scales,,,GAOV-EN054,1,0,,
Black Luster Ritual,,,LCYW-EN070,0,1,,
Black Whirlwind,,,RGBT-EN051,0,1,,
Blackwing - Bora the Spear,,,CRMS-EN009,0,1,,
Blackwing - Ghibli the Searing Wind,,,DP11-EN008,0,1,,
Blast Held by a Tribute,,,DPRP-EN034,1,0,,
Blaze Accelerator Reload,,,SECE-EN077,1,0,,
Blind Spot Strike,,,DREV-EN045,0,1,,
Block Golem,,,REDU-EN035,3,0,,
Boon of the Meklord Emperor,,,EXCV-EN050,1,0,,
Boot Staggered,,,SDCL-EN007,1,0,,
Borrel Regenerator,,,CYHO-EN053,0,3,,
Boycotton,,,MP19-EN018,1,0,,
"Bravo, Fighter Fur Hire",,,MP19-EN249,1,0,,
Break Off Trap Hole,,,SDSB-EN037,3,0,,
Breaking of the World,,,CYHO-EN057,0,1,,
Brinegir,,,CHIM-EN026,0,1,,
Brotherhood of the Fire Fist - Raven,,,OP12-EN014,0,1,,
"Brron, Mad King of Dark World",,,SDGU-EN011,1,0,,
Bubble Shuffle,,,DP1-EN019,1,0,,
Bujin Regalia - The Sword,,,JOTL-EN074,2,0,,
Bujingi Centipede,,,SHSP-EN026,2,0,,
Bujingi Turtle,,,JOTL-EN018,1,0,,
Burst Stream of Destruction,,,SDBE-EN021,0,1,,
Butterfly Dagger - Elma,,,LCYW-EN136,1,0,,
Caligo Claw Crow,,,YS13-EN008,1,0,,
Call of the Haunted,,,SDBE-EN037,0,1,,
Call of the Haunted,,,LDK2-ENJ37,1,0,,
Call of the Haunted,,,YS13-EN039,1,0,,
Card Guard,,,BP02-EN082,1,0,,
Card Rotator,,,DPO8-EN020,2,0,,
Card Rotator,,,CSOC-EN045,0,1,,
Card Trooper,,,SDCL-EN015,1,0,,
Cardcar D,,,SP14-EN012,1,0,,
Cards of Consonance,,,DP10-EN019,1,0,,
Castle of Dragon Souls,,,SDBE-EN033,0,1,,
Cataclysmic Crusted Calcifida,,,IGAS-EN025,1,0,,
Cauldron of the Old Man,,,CHIM-EN064,0,1,,
Chain Resonator,,,HSRD-EN018,1,0,,
Chamberlain of the Six Samurai,,,YS13-EN005,1,0,,
Charged-Up Heraldry,,,IGAS-EN060,1,0,,
Charm of Shabti,,,LCYW-EN190,1,0,,
Chemicritter Hydron Hawk,,,INOV-EN023,2,0,,
Chiron the Mage,,,YSDS-EN012,1,0,,
Chobham Armor Dragon,,,CHIM-EN005,3,0,,
Chronograph Sorcerer,,,LED6-EN052,2,0,,
Chronomaly Mayan Machine,,,REDU-EN009,1,0,,
Chronomoly Tuspa Rocket,,,IGAS-EN016,1,0,,
Chrysalis Dolphin,,,DP03-EN008,2,0,,
Cipher Mirror Knight,,,INOV-EN011,1,0,,
Cipher Twin Raptor,,,INOV-EN010,1,0,,
Circle of the Fire Kings,,,SDSB-EN028,3,0,,
Cliant,,,SDCL-EN003,1,0,,
Clock Spartoi,,,MP19-EN185,2,0,,
Clock Wyvern,,,MP19-EN152,2,0,,
Cluster Congester,,,CYHO-EN002,0,3,,
Cluster Congester,,,MP19-EN073,1,0,,
Compulsory Evacuation Device,,,SDBE-EN038,0,1,,
Concentrating Current,,,MP19-EN202,1,0,,
Condolence Puppet,,,IGAS-EN059,2,0,,
Constellar Twinkle,,,SECE-EN055,1,0,,
Contact Gate,,,CYHO-EN000,0,4,,
Contract with the Abyss,,,LCYW-EN273,2,0,,
Contract with the Dark Master,,,MIL1-EN021,1,0,,
Contract with the Dark Master,,,LCYW-EN128,1,0,,
Convert Contact,,,TAEV-EN047,1,0,,
Copycat,,,BP02-EN058,1,0,,
Cosmic Blazar Dragon,,,LED6-EN029,2,0,,
Cosmo Brain,,,CYHO-EN020,0,1,,
Counter Cleaner,,,CDIP-EN041,1,0,,
Crane Crane,,,SDCL-EN018,1,0,,
Cross Attack,,,PHSW-EN048,1,1,,
Crusadia Arboria,,,CYHO-EN007,0,5,,
Crusadia Draco,,,CYHO-EN009,0,3,,
Crusadia Krawler,,,MP19-EN209,1,0,,
Crusadia Leonis,,,CYHO-EN008,0,4,,
Crusadia Leonis,,,MP19-EN079,1,0,,
Crusadia Power,,,CYHO-EN055,0,4,,
Crusadia Reclusia,,,CYHO-EN006,0,5,,
Crusadia Regulex,,,MP19-EN106,3,0,,
Crusadia Vanguard,,,CYHO-EN071,0,3,,
Crusadia Vanguard,,,MP19-EN128,1,0,,
Crystal Blessing,,,FOTB-EN034,1,0,,
Crystal Master,,,MP19-EN065,1,0,,
Crystron Thystvern,,,INOV-EN019,1,0,,
Cupid Serve,,,IGAS-EN033,2,0,,
Cyber Dragon,,,YS12-EN011,1,0,,
Cyber Dragon Drei,,,LEDD-ENB03,2,0,,
Cyber Dragon Vier,,,MP19-EN085,2,0,,
Cyber Eltanin,,,LEDD-ENB09,1,0,,
Cyber Kirin,,,EOJ-EN008,0,1,,
Cyber Larva,,,SDCR-EN007,1,0,,
Cyber Repair Plant,,,LED3-EN021,1,0,,
Cyber Valley,,,SDCR-EN006,0,1,,
Cyber Valley,,,LEDD-ENB06,2,0,,
Cybernetic Fusion Support,,,LEDD-ENB13,1,0,,
Cybernetic Fusion Support,,,CROS-EN092,0,1,,
